"solution_name","solution_folder","connector_id","connector_title","connector_publisher","connector_file","reason","details"
"Palo Alto - XDR (Cortex)","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Palo%20Alto%20-%20XDR%20%28Cortex%29","","","","","missing_solution_metadata","Solution contains connectors but is missing SolutionMetadata.json."
"Symantec Integrated Cyber Defense","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Symantec%20Integrated%20Cyber%20Defense","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"TenableAD","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/TenableAD","","","","","missing_solution_metadata","Solution contains connectors but is missing SolutionMetadata.json."
"TransmitSecurity","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/TransmitSecurity","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Tropico","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Tropico","TropicoAlertsDefinition","Tropico Security - Alerts","Tropico Security","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Tropico/Data Connectors/TropicoAlerts_CCF/TropicoAlerts_ConnectorDefinition.json","table_detection_failed","Table tokens were detected but none could be emitted."
"Tropico","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Tropico","TropicoEventsDefinition","Tropico Security - Events","Tropico Security","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Tropico/Data Connectors/TropicoEvents_CCF/TropicoEvents_ConnectorDefinition.json","table_detection_failed","Table tokens were detected but none could be emitted."
"Tropico","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Tropico","TropicoIncidentsDefinition","Tropico Security - Incidents","Tropico Security","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Tropico/Data Connectors/TropicoIncidents_CCF/TropicoIncidents_ConnectorDefinition.json","table_detection_failed","Table tokens were detected but none could be emitted."
"Windows Firewall","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Windows%20Firewall","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Windows Forwarded Events","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Windows%20Forwarded%20Events","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Windows Security Events","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Windows%20Security%20Events","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Windows Server DNS","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Windows%20Server%20DNS","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Zscaler Internet Access","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Zscaler%20Internet%20Access","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
